Publication Titles	Record Count	% of 94,965
IGARSS 2005 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 8 PROCEEDINGS	30	0.032
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	30	0.032
SATELLITE ALTIMETRY FOR GEODESY GEOPHYSICS AND OCEANOGRAPHY PROCEEDINGS	30	0.032
AMBIO	29	0.031
AQUATIC ECOSYSTEM HEALTH MANAGEMENT	29	0.031
CANADIAN JOURNAL OF FOREST RESEARCH	29	0.031
JOURNAL OF GEOPHYSICAL RESEARCH	29	0.031
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH AND PLANETS	29	0.031
JOURNAL OF SPATIAL SCIENCE	29	0.031
JOURNAL OF THE ASTRONAUTICAL SCIENCES	29	0.031
OCEANOLOGICA ACTA	29	0.031
PHYSICAL REVIEW LETTERS	29	0.031
SCIENCE BULLETIN	29	0.031
WILEY INTERDISCIPLINARY REVIEWS WATER	29	0.031
AAPG BULLETIN	28	0.029
ATMOSPHERIC SCIENCE LETTERS	28	0.029
BOLETIM DE CIENCIAS GEODESICAS	28	0.029
BOLLETTINO DI GEOFISICA TEORICA ED APPLICATA	28	0.029
ECOSYSTEMS	28	0.029
SCIENCE IN CHINA SERIES D EARTH SCIENCES	28	0.029
SOLA	28	0.029
WETLANDS ECOLOGY AND MANAGEMENT	28	0.029
ENDANGERED SPECIES RESEARCH	27	0.028
FISH AND FISHERIES	27	0.028
GEOSCIENCE FRONTIERS	27	0.028
HARMFUL ALGAE	27	0.028
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION	27	0.028
MARINE BIOLOGY RESEARCH	27	0.028
PHYSICS AND CHEMISTRY OF THE EARTH PART A SOLID EARTH AND GEODESY	27	0.028
VISTAS FOR GEODESY IN THE NEW MILLENNIUM	27	0.028
ENVIRONMENTAL BIOLOGY OF FISHES	26	0.027
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	26	0.027
IGARSS 2004 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM PROCEEDINGS VOLS 1 7	26	0.027
JOURNAL OF GUIDANCE CONTROL AND DYNAMICS	26	0.027
PHOTOGRAMMETRIC RECORD	26	0.027
PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM	26	0.027
EARTH MOON AND PLANETS	25	0.026
ECOLOGY	25	0.026
ENVIRONMENTAL MANAGEMENT	25	0.026
ENVIRONMENTAL SCIENCE POLICY	25	0.026
GRAVITY GEOID AND SPACE MISSIONS	25	0.026
IEEE RADAR CONFERENCE	25	0.026
IEEE SENSORS JOURNAL	25	0.026
JOURNAL OF ARID ENVIRONMENTS	25	0.026
JOURNAL OF QUANTITATIVE SPECTROSCOPY RADIATIVE TRANSFER	25	0.026
MODELING EARTH SYSTEMS AND ENVIRONMENT	25	0.026
NATURE REVIEWS EARTH ENVIRONMENT	25	0.026
ADVANCED TECHNOLOGIES IN EARTH SCIENCES	24	0.025
ANNALS OF GLACIOLOGY VOL 34 2002	24	0.025
ASIA PACIFIC JOURNAL OF ATMOSPHERIC SCIENCES	24	0.025
BOUNDARY LAYER METEOROLOGY	24	0.025
ECOLOGICAL ENGINEERING	24	0.025
ECOLOGICAL INFORMATICS	24	0.025
FRONTIERS IN EARTH SCIENCES	24	0.025
